SRX044016	ce11	TFs and others	3180686	submitted	15898446	2026-04-06T07:10:39+09:00							0
SRX044017	ce11	TFs and others	5399491	submitted	15898447	2026-04-06T07:10:39+09:00							0
SRX044018	ce11	TFs and others	5072408	submitted	15898448	2026-04-06T07:10:39+09:00							0
SRX044021	ce11	TFs and others	14244415	submitted	15898449	2026-04-06T07:10:39+09:00							0
SRX044022	ce11	TFs and others	11454976	submitted	15898450	2026-04-06T07:10:39+09:00							0
SRX044023	ce11	TFs and others	28993063	submitted	15898451	2026-04-06T07:10:39+09:00							0
SRX044024	ce11	TFs and others	8501634	submitted	15898452	2026-04-06T07:10:39+09:00							0
SRX054205	ce11	TFs and others	5395132	submitted	15898453	2026-04-06T07:10:39+09:00							0
SRX054206	ce11	TFs and others	6132744	submitted	15898454	2026-04-06T07:10:39+09:00							0
SRX054207	ce11	TFs and others	4220063	submitted	15898455	2026-04-06T07:10:40+09:00							0
SRX054208	ce11	TFs and others	857311	submitted	15898456	2026-04-06T07:10:40+09:00							0
SRX054209	ce11	TFs and others	4918197	submitted	15898457	2026-04-06T07:10:40+09:00							0
SRX054210	ce11	TFs and others	2182021	submitted	15898458	2026-04-06T07:10:40+09:00							0
SRX054211	ce11	TFs and others	3671631	submitted	15898459	2026-04-06T07:10:40+09:00							0
SRX054248	ce11	TFs and others	2689326	submitted	15898460	2026-04-06T07:10:40+09:00							0
SRX054249	ce11	TFs and others	1817076	submitted	15898461	2026-04-06T07:10:40+09:00							0
SRX054250	ce11	TFs and others	5712711	submitted	15898462	2026-04-06T07:10:40+09:00							0
SRX054251	ce11	TFs and others	3852108	submitted	15898463	2026-04-06T07:10:40+09:00							0
SRX054252	ce11	TFs and others	2829693	submitted	15898464	2026-04-06T07:10:40+09:00							0
SRX054253	ce11	TFs and others	3535784	submitted	15898465	2026-04-06T07:10:40+09:00							0
SRX054254	ce11	TFs and others	5858168	submitted	15898466	2026-04-06T07:10:40+09:00							0
SRX054255	ce11	TFs and others	4832460	submitted	15898467	2026-04-06T07:10:40+09:00							0
SRX054256	ce11	TFs and others	2727720	submitted	15898468	2026-04-06T07:10:40+09:00							0
SRX054257	ce11	TFs and others	3573958	submitted	15898469	2026-04-06T07:10:40+09:00							0
SRX054258	ce11	TFs and others	1934794	submitted	15898470	2026-04-06T07:10:41+09:00							0
SRX054259	ce11	TFs and others	2438831	submitted	15898471	2026-04-06T07:10:41+09:00							0
SRX054260	ce11	TFs and others	4173453	submitted	15898472	2026-04-06T07:10:41+09:00							0
SRX054261	ce11	TFs and others	7119810	submitted	15898473	2026-04-06T07:10:41+09:00							0
SRX054262	ce11	TFs and others	2973812	submitted	15898474	2026-04-06T07:10:41+09:00							0
SRX054263	ce11	TFs and others	2872705	submitted	15898475	2026-04-06T07:10:41+09:00							0
SRX054264	ce11	TFs and others	1060761	submitted	15898476	2026-04-06T07:10:41+09:00							0
SRX054265	ce11	TFs and others	3994945	submitted	15898477	2026-04-06T07:10:41+09:00							0
SRX054266	ce11	TFs and others	858599	submitted	15898478	2026-04-06T07:10:41+09:00							0
SRX054303	ce11	TFs and others	4693546	submitted	15898479	2026-04-06T07:10:41+09:00							0
SRX054304	ce11	TFs and others	3180657	submitted	15898480	2026-04-06T07:10:41+09:00							0
SRX054305	ce11	TFs and others	2488882	submitted	15898481	2026-04-06T07:10:41+09:00							0
SRX054306	ce11	TFs and others	4042196	submitted	15898482	2026-04-06T07:10:41+09:00							0
SRX054307	ce11	TFs and others	5195407	submitted	15898483	2026-04-06T07:10:41+09:00							0
SRX054308	ce11	TFs and others	2804733	submitted	15898484	2026-04-06T07:10:41+09:00							0
SRX054309	ce11	TFs and others	3419652	submitted	15898485	2026-04-06T07:10:41+09:00							0
SRX054310	ce11	TFs and others	1387623	submitted	15898486	2026-04-06T07:10:42+09:00							0
SRX044011	ce11	TFs and others	1068726	running	15898441		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044014	ce11	TFs and others	4416551	running	15898444		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044013	ce11	TFs and others	1894556	running	15898443		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044010	ce11	TFs and others	5285403	running	15898440		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044012	ce11	TFs and others	3021900	running	15898442		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044016	ce11	TFs and others	3180686	running	15898446		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044015	ce11	TFs and others	4109787	running	15898445		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044017	ce11	TFs and others	5399491	running	15898447		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044018	ce11	TFs and others	5072408	running	15898448		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044023	ce11	TFs and others	28993063	running	15898451		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044022	ce11	TFs and others	11454976	running	15898450		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044021	ce11	TFs and others	14244415	running	15898449		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX054311	ce11	TFs and others	4502986	submitted	15898487	2026-04-06T07:10:42+09:00							0
SRX054206	ce11	TFs and others	6132744	running	15898454		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX054205	ce11	TFs and others	5395132	running	15898453		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX044024	ce11	TFs and others	8501634	running	15898452		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX054207	ce11	TFs and others	4220063	running	15898455		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX054209	ce11	TFs and others	4918197	running	15898457		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX054210	ce11	TFs and others	2182021	running	15898458		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX054208	ce11	TFs and others	857311	running	15898456		2026-04-06T07:10:42+09:00	2026-04-06T07:10:42+09:00					0
SRX059223	ce11	Histone	17396159	submitted	15898488	2026-04-06T07:10:42+09:00							0
DRX184549	ce11	Histone	26291984	submitted	15898490	2026-04-06T07:10:59+09:00							0
DRX184550	ce11	Histone	23827690	submitted	15898491	2026-04-06T07:10:59+09:00							0
DRX184552	ce11	Histone	28391575	submitted	15898492	2026-04-06T07:10:59+09:00							0
DRX184553	ce11	Histone	29549494	submitted	15898493	2026-04-06T07:10:59+09:00							0
