accession	genome	experiment_type	num_reads
SRX17392624	ce11	Histone	42304940
SRX17392625	ce11	Histone	42399887
SRX17605265	ce11	TFs and others	50210686
SRX17605266	ce11	TFs and others	59307901
SRX17605267	ce11	TFs and others	57387970
SRX17605290	ce11	TFs and others	27465369
SRX17605291	ce11	TFs and others	31798736
SRX1769982	ce11	TFs and others	3470371
SRX1769983	ce11	TFs and others	19445923
SRX1769984	ce11	TFs and others	11140655
SRX1769985	ce11	TFs and others	20141515
SRX1769986	ce11	TFs and others	7949569
SRX1769987	ce11	TFs and others	1629672
SRX1769988	ce11	TFs and others	6113677
SRX1769989	ce11	TFs and others	5084782
SRX1769990	ce11	TFs and others	14525466
SRX1769991	ce11	TFs and others	22271448
SRX1769992	ce11	TFs and others	6174995
SRX1769993	ce11	TFs and others	18925488
SRX1769994	ce11	TFs and others	54569107
SRX1769995	ce11	TFs and others	7133376
SRX1769996	ce11	TFs and others	87175889
SRX1769997	ce11	TFs and others	53147964
SRX18303534	ce11	ATAC-Seq	14660316
SRX18303535	ce11	ATAC-Seq	15803636
SRX18303536	ce11	ATAC-Seq	8684764
SRX18303537	ce11	ATAC-Seq	5906324
SRX18303538	ce11	ATAC-Seq	11437689
SRX18303539	ce11	ATAC-Seq	18051887
SRX18303540	ce11	ATAC-Seq	5323987
SRX18303541	ce11	ATAC-Seq	10736284
SRX18303542	ce11	ATAC-Seq	17158167
SRX18303543	ce11	ATAC-Seq	24012629
SRX18303544	ce11	ATAC-Seq	13315761
SRX18303545	ce11	ATAC-Seq	7617178
SRX18303546	ce11	ATAC-Seq	32658691
SRX18303547	ce11	ATAC-Seq	21629179
SRX18303548	ce11	ATAC-Seq	28994666
SRX18303549	ce11	ATAC-Seq	6794643
SRX188613	ce11	RNA polymerase	4666552
SRX188614	ce11	RNA polymerase	6486474
SRX188617	ce11	RNA polymerase	4922526
SRX188618	ce11	RNA polymerase	4144392
SRX19312603	ce11	ATAC-Seq	15982381
SRX19312604	ce11	ATAC-Seq	18064937
SRX19312605	ce11	ATAC-Seq	16276519
SRX19312606	ce11	ATAC-Seq	17903531
SRX19312607	ce11	ATAC-Seq	16352658
SRX19312608	ce11	ATAC-Seq	15096490
SRX19312661	ce11	TFs and others	32169120
SRX19312662	ce11	TFs and others	29237604
SRX19312663	ce11	TFs and others	24313284
SRX19312664	ce11	TFs and others	28602884
SRX1949396	ce11	TFs and others	11238748
SRX1949397	ce11	TFs and others	12492161
SRX1949398	ce11	TFs and others	20859731
SRX19856960	ce11	TFs and others	40013894
SRX19856962	ce11	TFs and others	45539975
SRX2011722	ce11	TFs and others	17446004
SRX2011723	ce11	TFs and others	11867230
SRX2011724	ce11	TFs and others	12623036
SRX2011725	ce11	TFs and others	14269660
SRX20276861	ce11	ATAC-Seq	99630303
SRX20276862	ce11	ATAC-Seq	87310820
SRX20276863	ce11	ATAC-Seq	95954850
SRX20276864	ce11	ATAC-Seq	101184494
SRX20276865	ce11	ATAC-Seq	92055004
SRX20276866	ce11	ATAC-Seq	87586715
SRX20276910	ce11	Histone	18013783
SRX20276914	ce11	Histone	21176345
SRX20276915	ce11	Histone	29726278
SRX20276916	ce11	Histone	20397924
SRX20276917	ce11	Histone	29977448
SRX20276922	ce11	Histone	39655937
SRX20276923	ce11	Histone	37957801
SRX20276924	ce11	Histone	50091762
SRX20276925	ce11	Histone	34743022
SRX20276927	ce11	Histone	16993439
SRX20276930	ce11	Histone	32915775
SRX20276931	ce11	Histone	23253143
SRX20276932	ce11	Histone	31466814
SRX20276933	ce11	Histone	26337244
SRX20276938	ce11	Histone	34182338
SRX20276939	ce11	Histone	42505710
SRX20276940	ce11	Histone	40752427
SRX20276941	ce11	Histone	40909282
SRX2035133	ce11	Histone	7076912
SRX2035134	ce11	Histone	6829144
SRX2035136	ce11	Histone	6460224
SRX2035137	ce11	Histone	6426854
SRX20811767	ce11	Histone	28779848
SRX20811768	ce11	Histone	18748114
SRX208755	ce11	TFs and others	19595990
SRX208756	ce11	TFs and others	6972845
SRX208763	ce11	TFs and others	11756944
SRX208764	ce11	TFs and others	14746480
SRX208767	ce11	TFs and others	8273591
SRX208768	ce11	TFs and others	12785509
SRX208769	ce11	TFs and others	13454005
SRX208770	ce11	TFs and others	18415218
SRX208771	ce11	RNA polymerase	14095169
SRX208772	ce11	RNA polymerase	13827258
SRX208773	ce11	RNA polymerase	17247211
SRX208774	ce11	RNA polymerase	19098144
SRX208775	ce11	TFs and others	15778723
SRX208776	ce11	TFs and others	11387508
SRX208777	ce11	TFs and others	10320462
SRX208778	ce11	TFs and others	11715770
SRX21064582	ce11	TFs and others	4052356
SRX21064583	ce11	TFs and others	14553950
SRX21064584	ce11	TFs and others	13209219
SRX21064585	ce11	TFs and others	14402133
SRX21064586	ce11	TFs and others	17583852
SRX21064587	ce11	TFs and others	23081685
SRX21064588	ce11	TFs and others	9654916
SRX21064589	ce11	TFs and others	15631996
SRX21064590	ce11	TFs and others	15897607
SRX21064591	ce11	TFs and others	15670415
SRX21064592	ce11	TFs and others	17231087
SRX21064593	ce11	TFs and others	21942316
SRX21064600	ce11	TFs and others	11175253
SRX21064601	ce11	TFs and others	9294136
SRX21064602	ce11	TFs and others	7936231
SRX21064603	ce11	TFs and others	2583721
SRX21064608	ce11	TFs and others	5878468
SRX21064609	ce11	TFs and others	9095654
SRX21064610	ce11	TFs and others	25338318
SRX21064611	ce11	TFs and others	21509217
SRX212235	ce11	TFs and others	12552249
SRX2144165	ce11	Histone	4913051
SRX2144166	ce11	Histone	3651845
SRX2144167	ce11	Histone	5401926
SRX2144168	ce11	Histone	8669264
SRX2144169	ce11	Histone	4267483
SRX2144170	ce11	RNA polymerase	5531968
SRX2144171	ce11	RNA polymerase	9709567
SRX2144172	ce11	RNA polymerase	5477242
SRX2144173	ce11	RNA polymerase	9595716
SRX2144174	ce11	RNA polymerase	4398420
SRX2144175	ce11	Histone	6518497
SRX2144176	ce11	Histone	5032150
SRX2144177	ce11	Histone	5173938
SRX2144178	ce11	Histone	8786701
SRX2144179	ce11	Histone	6820219
SRX2144180	ce11	RNA polymerase	6729731
SRX2144181	ce11	RNA polymerase	8842349
SRX2144182	ce11	RNA polymerase	7550443
SRX2144183	ce11	RNA polymerase	6715360
SRX2144184	ce11	RNA polymerase	5526585
SRX2144190	ce11	Histone	3444666
SRX2144191	ce11	Histone	6821424
SRX2144192	ce11	Histone	2717461
SRX2144193	ce11	Histone	4009970
SRX2144194	ce11	Histone	3823058
SRX2163949	ce11	Histone	41298351
SRX2163950	ce11	Histone	50549812
SRX2170085	ce11	Bisulfite-Seq	326964
SRX21762554	ce11	TFs and others	8682734
SRX21762555	ce11	TFs and others	13829214
SRX21762556	ce11	TFs and others	6195493
SRX21762557	ce11	TFs and others	11531890
SRX21762560	ce11	RNA polymerase	22669304
SRX21762561	ce11	RNA polymerase	18073472
SRX21762562	ce11	RNA polymerase	26006759
SRX21762563	ce11	RNA polymerase	8465221
SRX21762564	ce11	RNA polymerase	7171321
SRX21762565	ce11	RNA polymerase	14774536
SRX21762566	ce11	RNA polymerase	11155204
SRX21804016	ce11	ATAC-Seq	13361761
SRX21804017	ce11	ATAC-Seq	11913759
SRX21804018	ce11	ATAC-Seq	16675512
SRX21804019	ce11	ATAC-Seq	17948282
SRX21804020	ce11	ATAC-Seq	13800295
SRX21804021	ce11	ATAC-Seq	21897656
SRX21804022	ce11	ATAC-Seq	17090101
SRX21804023	ce11	ATAC-Seq	17809067
SRX21804024	ce11	ATAC-Seq	25456261
SRX2202775	ce11	Histone	16937099
SRX2202776	ce11	Histone	16007623
SRX2202779	ce11	TFs and others	20981917
SRX2202780	ce11	TFs and others	19386364
SRX2202781	ce11	TFs and others	22115537
SRX2202782	ce11	TFs and others	23888948
SRX2202783	ce11	TFs and others	20182598
SRX2202784	ce11	TFs and others	23824880
SRX2202785	ce11	TFs and others	22406252
SRX2202786	ce11	TFs and others	19485470
SRX2202787	ce11	TFs and others	20837923
SRX2202788	ce11	TFs and others	24890077
SRX222634	ce11	TFs and others	6220459
SRX222635	ce11	TFs and others	3974082
SRX222638	ce11	TFs and others	7552112
SRX222639	ce11	TFs and others	6976383
SRX222642	ce11	TFs and others	5641350
SRX222643	ce11	TFs and others	6024147
SRX2228847	ce11	TFs and others	20144069
SRX2228848	ce11	TFs and others	23585231
SRX2228849	ce11	TFs and others	8154140
SRX2228850	ce11	TFs and others	10569347
SRX2228851	ce11	TFs and others	5733878
SRX2228852	ce11	TFs and others	8992104
SRX2228853	ce11	TFs and others	5242953
SRX2228854	ce11	TFs and others	5119300
SRX2228855	ce11	TFs and others	6196375
SRX2228856	ce11	TFs and others	10710100
SRX2228857	ce11	TFs and others	11801157
SRX2228858	ce11	TFs and others	12429446
SRX2228859	ce11	TFs and others	12255316
SRX2228860	ce11	TFs and others	15555360
SRX2228861	ce11	TFs and others	9436772
SRX2228862	ce11	TFs and others	30487356
SRX2228863	ce11	TFs and others	11982884
SRX2228864	ce11	TFs and others	10064622
SRX2228865	ce11	TFs and others	18668481
SRX2228866	ce11	Histone	18406714
SRX2228867	ce11	Histone	14827846
SRX2228868	ce11	Histone	7769658
SRX2228869	ce11	Histone	14221404
SRX2228870	ce11	Histone	9142363
SRX2228871	ce11	Histone	18247478
SRX2228872	ce11	Histone	7312239
SRX2228873	ce11	TFs and others	17467837
SRX2228874	ce11	TFs and others	33038431
SRX2228875	ce11	TFs and others	11043257
SRX2228876	ce11	TFs and others	14851943
SRX2228877	ce11	TFs and others	9681803
SRX2228878	ce11	TFs and others	19257180
SRX2228879	ce11	TFs and others	19204008
SRX2228880	ce11	TFs and others	18386343
SRX2228881	ce11	TFs and others	14706632
SRX2228882	ce11	TFs and others	20627992
SRX2228883	ce11	TFs and others	18646407
SRX2228884	ce11	TFs and others	11973503
SRX2228885	ce11	TFs and others	20205412
SRX2228886	ce11	TFs and others	6284733
SRX2228887	ce11	TFs and others	10397250
SRX2228888	ce11	TFs and others	10153262
SRX2228889	ce11	TFs and others	6864509
SRX2228890	ce11	TFs and others	13966004
SRX2228891	ce11	TFs and others	15404718
SRX2228892	ce11	TFs and others	7805545
SRX2249334	ce11	Histone	162820502
SRX2249335	ce11	Histone	53777861
SRX2332995	ce11	ATAC-Seq	26099622
SRX2332996	ce11	ATAC-Seq	36024207
SRX2332997	ce11	ATAC-Seq	44833479
SRX2332998	ce11	ATAC-Seq	22946693
SRX2332999	ce11	ATAC-Seq	29523880
SRX2333000	ce11	ATAC-Seq	21258521
SRX2333001	ce11	ATAC-Seq	21992224
SRX2333002	ce11	ATAC-Seq	43457363
SRX2333003	ce11	ATAC-Seq	49739109
SRX2333004	ce11	ATAC-Seq	31364016
SRX233417	ce11	TFs and others	6560280
SRX233418	ce11	TFs and others	9081688
SRX233441	ce11	TFs and others	5623226
SRX233442	ce11	TFs and others	6158254
SRX233445	ce11	TFs and others	6316368
SRX233446	ce11	TFs and others	7490240
SRX233449	ce11	TFs and others	5725492
SRX233450	ce11	TFs and others	8380457
SRX233453	ce11	TFs and others	7931160
SRX233454	ce11	TFs and others	3043619
SRX233457	ce11	TFs and others	9931760
SRX233458	ce11	TFs and others	9036519
SRX233461	ce11	TFs and others	7035155
SRX233462	ce11	TFs and others	2751348
SRX233695	ce11	TFs and others	6839888
SRX233696	ce11	TFs and others	6721950
SRX234912	ce11	TFs and others	9348157
SRX234913	ce11	TFs and others	7325114
SRX234916	ce11	TFs and others	1318376
SRX234917	ce11	TFs and others	5094897
SRX234920	ce11	TFs and others	4124429
SRX234921	ce11	TFs and others	8505498
SRX234924	ce11	TFs and others	6275526
SRX234925	ce11	TFs and others	6438791
SRX2350718	ce11	Histone	17660826
SRX2350719	ce11	Histone	10290698
SRX2350720	ce11	Histone	14168528
SRX2350721	ce11	Histone	9815437
SRX2350722	ce11	Histone	9424627
SRX2350723	ce11	Histone	15486368
SRX2350724	ce11	Histone	13790395
SRX2350725	ce11	Histone	11321125
SRX2350738	ce11	Histone	12272558
SRX2350739	ce11	Histone	8201532
SRX2350740	ce11	Histone	11618832
SRX2350741	ce11	Histone	10864382
SRX2350742	ce11	Histone	13132196
SRX2350743	ce11	Histone	11940186
SRX2350744	ce11	Histone	10506268
SRX2350745	ce11	Histone	10351924
SRX2350746	ce11	Histone	13170882
SRX2350747	ce11	Histone	11329297
SRX2350748	ce11	Histone	10173885
SRX2350749	ce11	Histone	13747279
SRX2350750	ce11	Histone	10069535
SRX2350751	ce11	Histone	10961380
SRX2350752	ce11	Histone	12454882
SRX2350753	ce11	Histone	9953156
SRX2350754	ce11	Histone	12237325
SRX2350755	ce11	Histone	11427736
SRX2350756	ce11	Histone	12463337
SRX235168	ce11	TFs and others	2961014
SRX235169	ce11	TFs and others	4382589
SRX235172	ce11	TFs and others	8426839
SRX235173	ce11	TFs and others	7870475
SRX2370184	ce11	Histone	7181124
SRX2370185	ce11	Histone	20236840
SRX2370186	ce11	Histone	20098596
SRX23914022	ce11	TFs and others	30603436
SRX23914023	ce11	TFs and others	19677081
SRX23914024	ce11	TFs and others	34275659
SRX23914025	ce11	TFs and others	15969206
SRX245912	ce11	TFs and others	17073633
SRX245913	ce11	TFs and others	17988956
SRX245914	ce11	TFs and others	21734004
SRX245915	ce11	TFs and others	28225540
SRX245916	ce11	TFs and others	25703370
SRX245917	ce11	TFs and others	26558615
SRX246024	ce11	Histone	142888234
SRX246025	ce11	Histone	55841810
SRX246026	ce11	Histone	79541570
SRX246027	ce11	Histone	134468528
SRX246028	ce11	Histone	98247369
SRX246029	ce11	Histone	109996620
SRX246038	ce11	Histone	184789812
SRX25185840	ce11	Histone	37134727
SRX25185841	ce11	Histone	34624652
SRX25185842	ce11	Histone	35483675
SRX25185843	ce11	Histone	34178704
SRX25185848	ce11	Histone	30675869
SRX25185849	ce11	Histone	35291270
SRX25185850	ce11	Histone	35093249
SRX25185851	ce11	Histone	35265419
SRX257640	ce11	TFs and others	25082505
SRX257641	ce11	TFs and others	24186825
SRX257642	ce11	TFs and others	6511216
SRX257643	ce11	TFs and others	8060704
SRX257644	ce11	TFs and others	9699963
SRX257645	ce11	TFs and others	16172133
SRX257646	ce11	TFs and others	18091038
SRX257647	ce11	TFs and others	17594324
SRX257648	ce11	TFs and others	18816016
SRX257649	ce11	TFs and others	15435145
SRX257650	ce11	TFs and others	16562205
SRX257651	ce11	TFs and others	12994743
SRX257652	ce11	TFs and others	19076562
SRX257653	ce11	TFs and others	12762765
SRX257654	ce11	TFs and others	18930018
SRX257655	ce11	TFs and others	8743647
SRX257656	ce11	TFs and others	13761013
SRX257657	ce11	TFs and others	30487356
SRX257658	ce11	TFs and others	11982884
SRX257659	ce11	TFs and others	10064622
SRX257660	ce11	TFs and others	18668481
SRX257661	ce11	TFs and others	9571582
SRX257662	ce11	TFs and others	13944143
SRX2576620	ce11	TFs and others	15742148
SRX2576621	ce11	TFs and others	16135860
SRX2576622	ce11	TFs and others	7584129
SRX2576623	ce11	TFs and others	21385259
SRX2576624	ce11	TFs and others	21023417
SRX2576625	ce11	TFs and others	19452610
SRX2576626	ce11	TFs and others	17606297
SRX2576627	ce11	TFs and others	20246590
SRX2576628	ce11	TFs and others	18751435
SRX2576629	ce11	TFs and others	11761376
SRX257663	ce11	TFs and others	20920487
SRX2576630	ce11	TFs and others	21521044
SRX2576631	ce11	TFs and others	25191947
SRX2576632	ce11	TFs and others	18906900
SRX2576633	ce11	TFs and others	17967710
SRX2576634	ce11	TFs and others	14369137
SRX2576635	ce11	TFs and others	21938757
SRX2576636	ce11	TFs and others	19947557
SRX2576637	ce11	TFs and others	8677034
SRX2576638	ce11	TFs and others	23329304
SRX2576639	ce11	TFs and others	20938902
SRX257664	ce11	TFs and others	16870164
SRX2576640	ce11	TFs and others	17633815
SRX2576641	ce11	TFs and others	21697486
SRX2576642	ce11	TFs and others	20603440
SRX2576643	ce11	TFs and others	18630839
SRX2576644	ce11	TFs and others	18608517
SRX2576645	ce11	TFs and others	19611087
SRX2576646	ce11	TFs and others	18222104
SRX2576647	ce11	TFs and others	20063336
SRX2576648	ce11	TFs and others	20813824
SRX2576649	ce11	TFs and others	19310034
SRX257665	ce11	TFs and others	23318576
SRX2576650	ce11	TFs and others	22612410
SRX2576651	ce11	TFs and others	29253295
SRX2576652	ce11	TFs and others	17866724
SRX2576653	ce11	TFs and others	16703865
SRX2576654	ce11	TFs and others	19580028
SRX2576655	ce11	TFs and others	7854428
SRX2576656	ce11	TFs and others	25014594
SRX2576657	ce11	TFs and others	20456193
SRX257666	ce11	TFs and others	19093970
SRX257667	ce11	TFs and others	21688641
SRX257668	ce11	TFs and others	20216847
SRX257669	ce11	TFs and others	12641662
SRX257670	ce11	TFs and others	11537873
SRX257671	ce11	Histone	9910878
SRX257672	ce11	Histone	22304749
SRX257673	ce11	TFs and others	8314647
SRX257674	ce11	TFs and others	16729386
SRX257675	ce11	TFs and others	60854504
SRX257676	ce11	TFs and others	18394573
SRX257677	ce11	TFs and others	11529650
SRX257678	ce11	TFs and others	6618120
SRX257679	ce11	TFs and others	17440591
SRX257680	ce11	TFs and others	11722131
SRX257681	ce11	TFs and others	12195002
SRX257682	ce11	TFs and others	13687242
SRX257683	ce11	TFs and others	9758087
SRX257684	ce11	TFs and others	14843156
SRX257685	ce11	TFs and others	11492792
SRX257686	ce11	TFs and others	23010900
SRX257687	ce11	TFs and others	17156712
SRX257688	ce11	TFs and others	11235865
SRX2582951	ce11	TFs and others	25336801
SRX2582953	ce11	TFs and others	29930868
SRX2599461	ce11	Histone	24778030
SRX2599462	ce11	Histone	23182877
SRX26012989	ce11	TFs and others	32082780
SRX26012990	ce11	TFs and others	31450575
SRX26012991	ce11	TFs and others	15932286
SRX26012992	ce11	TFs and others	46051718
SRX26012993	ce11	TFs and others	28233654
SRX26012994	ce11	TFs and others	23293657
SRX26012995	ce11	TFs and others	16093205
SRX26012996	ce11	TFs and others	23584290
SRX26012997	ce11	Histone	49589928
SRX26012998	ce11	Histone	31484353
SRX26012999	ce11	Histone	37774579
SRX26013000	ce11	Histone	35952888
SRX26261217	ce11	TFs and others	8507728
SRX26261218	ce11	TFs and others	7699592
SRX26261219	ce11	TFs and others	6864352
SRX26261220	ce11	TFs and others	6749984
SRX26261221	ce11	TFs and others	7380937
SRX26261222	ce11	TFs and others	7248592
SRX26261223	ce11	TFs and others	10009652
SRX26261224	ce11	TFs and others	10210657
SRX26261225	ce11	TFs and others	9805671
SRX26261226	ce11	TFs and others	6301668
SRX26261227	ce11	TFs and others	10161746
SRX26261228	ce11	TFs and others	9679813
SRX26261229	ce11	TFs and others	10234902
SRX26261230	ce11	TFs and others	9779106
SRX26261231	ce11	TFs and others	10355747
SRX26261232	ce11	TFs and others	8619470
SRX26261233	ce11	TFs and others	7450340
SRX26261234	ce11	TFs and others	6582938
SRX26261235	ce11	TFs and others	7731181
SRX26261236	ce11	TFs and others	7209053
SRX26261237	ce11	TFs and others	6124440
SRX26261238	ce11	TFs and others	4933286
SRX26261239	ce11	TFs and others	5702134
SRX26261240	ce11	TFs and others	5080709
SRX2710279	ce11	DNase-seq	53428231
SRX2710280	ce11	DNase-seq	45384331
SRX2710281	ce11	DNase-seq	63135631
SRX2710282	ce11	DNase-seq	34013526
SRX2710283	ce11	DNase-seq	65854207
SRX2710284	ce11	DNase-seq	37102286
SRX2710285	ce11	DNase-seq	27553640
SRX2710286	ce11	DNase-seq	45399853
SRX2710287	ce11	DNase-seq	40067033
SRX2761380	ce11	Histone	8854069
SRX2761381	ce11	Histone	7781222
SRX2761382	ce11	Histone	8215578
SRX2761383	ce11	Histone	9791265
SRX2761384	ce11	Histone	8878603
SRX2761385	ce11	Histone	9606069
SRX276907	ce11	TFs and others	6297341
SRX276908	ce11	TFs and others	8392253
SRX276911	ce11	TFs and others	5494772
SRX276912	ce11	TFs and others	5701972
SRX276915	ce11	TFs and others	6117489
SRX276916	ce11	TFs and others	5850741
SRX276919	ce11	TFs and others	7020938
SRX276920	ce11	TFs and others	5840666
SRX277022	ce11	TFs and others	2681323
SRX277023	ce11	TFs and others	2565237
SRX277026	ce11	TFs and others	2648379
SRX277027	ce11	TFs and others	2951621
SRX277030	ce11	TFs and others	3398916
SRX277031	ce11	TFs and others	3374588
SRX277035	ce11	TFs and others	2592787
SRX277036	ce11	TFs and others	2830328
SRX277039	ce11	TFs and others	5654691
SRX277040	ce11	TFs and others	5169128
SRX277043	ce11	TFs and others	5860340
SRX277044	ce11	TFs and others	4916992
SRX277047	ce11	TFs and others	6286123
SRX277048	ce11	TFs and others	5753554
SRX277051	ce11	TFs and others	6570283
SRX277052	ce11	TFs and others	6797154
SRX277055	ce11	TFs and others	6023075
SRX277056	ce11	TFs and others	5177231
SRX277059	ce11	TFs and others	8299802
SRX277060	ce11	TFs and others	7181787
SRX277063	ce11	TFs and others	5756008
SRX277064	ce11	TFs and others	6086080
SRX277067	ce11	TFs and others	6872898
SRX277068	ce11	TFs and others	7315009
SRX277071	ce11	TFs and others	8531088
SRX277072	ce11	TFs and others	8370704
SRX277075	ce11	TFs and others	7860093
SRX277076	ce11	TFs and others	7572162
SRX277079	ce11	TFs and others	7279156
SRX277080	ce11	TFs and others	6902654
SRX277084	ce11	TFs and others	5460267
SRX277085	ce11	TFs and others	5414839
SRX277088	ce11	TFs and others	7412323
SRX277089	ce11	TFs and others	5741029
SRX277092	ce11	TFs and others	6184224
SRX277093	ce11	TFs and others	6859700
SRX277096	ce11	TFs and others	5338773
SRX277097	ce11	TFs and others	5551777
SRX277100	ce11	TFs and others	7680929
SRX277101	ce11	TFs and others	7487189
SRX277104	ce11	TFs and others	7590261
SRX277105	ce11	TFs and others	7612569
SRX2965733	ce11	TFs and others	47036427
SRX2965734	ce11	TFs and others	70079354
SRX2965735	ce11	TFs and others	45844906
SRX2965736	ce11	TFs and others	71862577
SRX2965737	ce11	TFs and others	49540971
SRX2965738	ce11	TFs and others	81489952
SRX2965739	ce11	TFs and others	54119838
SRX2965740	ce11	TFs and others	50760011
SRX2965741	ce11	Histone	24188927
SRX2965742	ce11	Histone	22743849
SRX2965743	ce11	Histone	45310834
SRX2965744	ce11	Histone	23051447
SRX2965745	ce11	Histone	27801818
SRX2965746	ce11	Histone	35206966
SRX2965747	ce11	Histone	33011896
SRX2965748	ce11	Histone	25229792
SRX2969570	ce11	ATAC-Seq	34279594
SRX2969571	ce11	ATAC-Seq	34363329
SRX2969572	ce11	ATAC-Seq	30977986
SRX2969573	ce11	ATAC-Seq	41403819
SRX2985927	ce11	TFs and others	45543277
SRX2985928	ce11	TFs and others	42454831
SRX2985929	ce11	TFs and others	73178255
SRX2985930	ce11	TFs and others	53040099
SRX3008765	ce11	Histone	41940504
SRX3008766	ce11	Histone	60530886
SRX3008767	ce11	Histone	45228743
SRX3008768	ce11	Histone	42721018
SRX3008769	ce11	Histone	42913454
SRX3008770	ce11	Histone	40235808
SRX3008771	ce11	Histone	44815642
SRX3008772	ce11	Histone	39732741
SRX3029121	ce11	ATAC-Seq	15580944
SRX3029122	ce11	ATAC-Seq	28757519
SRX3029123	ce11	ATAC-Seq	29483489
SRX3029124	ce11	ATAC-Seq	61195528
SRX3029125	ce11	ATAC-Seq	54995702
SRX3029126	ce11	ATAC-Seq	43459436
SRX3029127	ce11	ATAC-Seq	27055709
SRX3029128	ce11	ATAC-Seq	67029433
SRX3029129	ce11	ATAC-Seq	65633087
SRX3029130	ce11	ATAC-Seq	49621886
SRX3029131	ce11	ATAC-Seq	50527041
SRX3029132	ce11	ATAC-Seq	24717131
SRX3029134	ce11	ATAC-Seq	53096677
SRX3029135	ce11	ATAC-Seq	41375988
SRX3043399	ce11	Histone	9470321
SRX3043400	ce11	Histone	8650033
SRX3043401	ce11	Histone	12066082
SRX3043402	ce11	Histone	7667127
SRX3043403	ce11	Histone	9419509
SRX3043404	ce11	Histone	11272212
SRX3043405	ce11	Histone	20483491
SRX3043406	ce11	Histone	13123452
SRX3043407	ce11	Histone	17069793
SRX3043408	ce11	Histone	23231060
SRX3043409	ce11	Histone	11528619
SRX3043410	ce11	Histone	17754014
SRX3043417	ce11	Histone	41967833
SRX3043418	ce11	Histone	25911671
SRX3043419	ce11	Histone	40986154
SRX3043420	ce11	Histone	23685998
SRX3058057	ce11	TFs and others	26026647
SRX3058058	ce11	TFs and others	17819829
SRX312079	ce11	TFs and others	6913957
SRX312080	ce11	TFs and others	14572174
SRX312081	ce11	TFs and others	7916550
SRX3141082	ce11	ATAC-Seq	86746540
SRX3141083	ce11	ATAC-Seq	62163267
SRX3180771	ce11	Histone	23002793
SRX3180772	ce11	Histone	9472625
SRX3180773	ce11	Histone	12009636
SRX3180774	ce11	Histone	11006715
SRX3180775	ce11	Histone	17002312
SRX3180776	ce11	Histone	18134381
SRX3180777	ce11	Histone	15907059
SRX3180778	ce11	Histone	20986887
SRX3180779	ce11	Histone	17772057
SRX3180780	ce11	Histone	13155389
SRX3180781	ce11	RNA polymerase	8410553
SRX3180782	ce11	RNA polymerase	5376589
SRX3180783	ce11	Histone	10288657
SRX3180784	ce11	Histone	5404359
SRX3180785	ce11	Histone	11621086
SRX3180786	ce11	Histone	9411386
SRX3180787	ce11	Histone	11038916
SRX3180788	ce11	Histone	11197990
SRX3180789	ce11	Histone	9888659
SRX3180790	ce11	Histone	13244524
SRX3180791	ce11	Histone	9968393
SRX3180792	ce11	Histone	7903471
SRX3180793	ce11	RNA polymerase	7101304
SRX3180794	ce11	RNA polymerase	2440123
SRX3180795	ce11	Histone	14879645
SRX3180796	ce11	Histone	11487554
SRX3180797	ce11	Histone	17796426
SRX3180798	ce11	Histone	16767409
SRX3180799	ce11	Histone	13626901
SRX3180800	ce11	Histone	16836975
SRX3180801	ce11	Histone	16071294
SRX3180802	ce11	Histone	18304315
SRX3180803	ce11	Histone	13088078
SRX3180804	ce11	Histone	8909134
SRX3180805	ce11	RNA polymerase	16493597
SRX3180806	ce11	RNA polymerase	25694599
SRX3180807	ce11	Histone	8458867
SRX3180808	ce11	Histone	11623275
SRX3180809	ce11	Histone	11942106
SRX3180810	ce11	Histone	17572071
SRX3180811	ce11	Histone	19433722
SRX3180812	ce11	Histone	15659275
SRX3180813	ce11	Histone	15765933
SRX3180814	ce11	Histone	20542845
SRX3180815	ce11	Histone	16520659
SRX3180816	ce11	Histone	15558370
SRX3180817	ce11	RNA polymerase	6362102
SRX3180818	ce11	RNA polymerase	7955293
SRX3180819	ce11	Histone	10732956
SRX3180820	ce11	Histone	13138723
SRX3180821	ce11	Histone	15074534
SRX3180822	ce11	Histone	16612327
SRX3180823	ce11	Histone	9583300
SRX3180824	ce11	Histone	7645090
SRX3180825	ce11	Histone	9579446
SRX3180826	ce11	Histone	14784189
SRX3180827	ce11	Histone	9420713
SRX3180828	ce11	Histone	10881330
SRX3180829	ce11	RNA polymerase	18385985
SRX3180830	ce11	RNA polymerase	32694956
SRX323677	ce11	TFs and others	9253546
SRX323678	ce11	TFs and others	7892613
SRX323680	ce11	TFs and others	13374012
SRX323682	ce11	TFs and others	12427841
SRX323683	ce11	TFs and others	13687820
SRX323684	ce11	TFs and others	12637986
SRX323686	ce11	TFs and others	8590397
SRX323688	ce11	TFs and others	19710753
SRX323689	ce11	TFs and others	12417163
SRX323690	ce11	TFs and others	12803328
SRX330983	ce11	TFs and others	20024866
SRX330984	ce11	TFs and others	7074941
SRX330985	ce11	TFs and others	12676608
SRX330986	ce11	TFs and others	13785217
SRX331042	ce11	TFs and others	2876498
SRX331044	ce11	TFs and others	2700823
SRX331046	ce11	TFs and others	4768869
SRX331048	ce11	TFs and others	3979796
SRX331050	ce11	TFs and others	5008664
SRX331052	ce11	TFs and others	3136556
SRX331054	ce11	TFs and others	5218214
SRX331056	ce11	TFs and others	9402890
SRX331058	ce11	TFs and others	1735677
