accession	genome	experiment_type	num_reads
SRX044012	ce11	TFs and others	3021900
SRX044013	ce11	TFs and others	1894556
SRX044014	ce11	TFs and others	4416551
SRX044015	ce11	TFs and others	4109787
SRX044016	ce11	TFs and others	3180686
SRX044017	ce11	TFs and others	5399491
SRX044018	ce11	TFs and others	5072408
SRX044021	ce11	TFs and others	14244415
SRX044022	ce11	TFs and others	11454976
SRX044023	ce11	TFs and others	28993063
SRX044024	ce11	TFs and others	8501634
SRX054205	ce11	TFs and others	5395132
SRX054206	ce11	TFs and others	6132744
SRX054207	ce11	TFs and others	4220063
SRX054208	ce11	TFs and others	857311
SRX054209	ce11	TFs and others	4918197
SRX054210	ce11	TFs and others	2182021
SRX054211	ce11	TFs and others	3671631
SRX054248	ce11	TFs and others	2689326
SRX054249	ce11	TFs and others	1817076
SRX054250	ce11	TFs and others	5712711
SRX054251	ce11	TFs and others	3852108
SRX054252	ce11	TFs and others	2829693
SRX054253	ce11	TFs and others	3535784
SRX054254	ce11	TFs and others	5858168
SRX054255	ce11	TFs and others	4832460
SRX054256	ce11	TFs and others	2727720
SRX054257	ce11	TFs and others	3573958
SRX054258	ce11	TFs and others	1934794
SRX054259	ce11	TFs and others	2438831
SRX054260	ce11	TFs and others	4173453
SRX054261	ce11	TFs and others	7119810
SRX054262	ce11	TFs and others	2973812
SRX054263	ce11	TFs and others	2872705
SRX054264	ce11	TFs and others	1060761
SRX054265	ce11	TFs and others	3994945
SRX054266	ce11	TFs and others	858599
SRX054303	ce11	TFs and others	4693546
SRX054304	ce11	TFs and others	3180657
SRX054305	ce11	TFs and others	2488882
SRX054306	ce11	TFs and others	4042196
SRX054307	ce11	TFs and others	5195407
SRX054308	ce11	TFs and others	2804733
SRX054309	ce11	TFs and others	3419652
SRX054310	ce11	TFs and others	1387623
SRX054311	ce11	TFs and others	4502986
SRX059223	ce11	Histone	17396159
SRX059224	ce11	Histone	19829939
SRX059225	ce11	Histone	15118307
SRX059226	ce11	TFs and others	4855812
SRX059227	ce11	TFs and others	16535439
SRX059228	ce11	Histone	19141045
SRX059229	ce11	Histone	20333805
SRX059230	ce11	TFs and others	4429111
SRX059231	ce11	TFs and others	9199053
SRX059232	ce11	TFs and others	2456763
SRX059233	ce11	TFs and others	15907024
SRX059234	ce11	TFs and others	3402069
SRX059235	ce11	TFs and others	15514273
SRX059237	ce11	Histone	15322250
SRX059238	ce11	Histone	27166289
SRX059239	ce11	Histone	27183911
SRX059240	ce11	TFs and others	7976699
SRX059241	ce11	TFs and others	15415791
SRX059242	ce11	TFs and others	15638416
SRX059243	ce11	TFs and others	7751700
SRX059244	ce11	Histone	16597845
SRX059245	ce11	Histone	25360297
SRX059246	ce11	TFs and others	4391606
SRX059248	ce11	TFs and others	8114172
SRX059250	ce11	TFs and others	16864948
SRX059251	ce11	TFs and others	16560194
SRX059252	ce11	TFs and others	15991314
SRX059253	ce11	TFs and others	17674323
SRX059254	ce11	Histone	11592789
SRX059255	ce11	Histone	25891064
SRX059256	ce11	TFs and others	3578976
SRX059257	ce11	TFs and others	14398666
SRX059264	ce11	Histone	19253374
SRX059265	ce11	Histone	23070060
SRX059267	ce11	TFs and others	8845185
SRX059268	ce11	TFs and others	7389099
SRX059269	ce11	TFs and others	8549506
SRX059270	ce11	TFs and others	10785689
SRX059271	ce11	RNA polymerase	3133532
SRX059272	ce11	RNA polymerase	8055605
SRX059273	ce11	Histone	21006018
SRX059274	ce11	Histone	16264926
SRX063957	ce11	Histone	25891064
SRX063958	ce11	Histone	8463151
